
Title,Company,Location,Apply
b'Business Systems Analyst',b'Canfor',"b'Vancouver, British Columbia, Canada'",b'https://ca.linkedin.com/jobs/view/business-systems-analyst-at-canfor-3647568045?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=reXNJWhfYacHE7x7dodXQw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business System Analyst',b'Themesoft Inc.',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/business-system-analyst-at-themesoft-inc-3647426180?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=fZA1FCdZIIOtGlR%2BZwgmlg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business Intelligence Specialist',b'Irving Shipbuilding',"b'Halifax, Nova Scotia, Canada'",b'https://ca.linkedin.com/jobs/view/business-intelligence-specialist-at-irving-shipbuilding-3643129624?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=EKmPDaPglCRLoDg%2FRBkidQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Data Advisor & Business Analyst',b'Dalhousie University',"b'Halifax, Nova Scotia, Canada'",b'https://ca.linkedin.com/jobs/view/senior-data-advisor-business-analyst-at-dalhousie-university-3635638680?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=aQ2MJ3o0Auin95YEdmYgfA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Sr. Competitive Intelligence Analyst',b'D2L',"b'Kitchener, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/sr-competitive-intelligence-analyst-at-d2l-3645158898?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=LhuruH2UELnbLZxHMQPCUQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Cloud Data Analytics Engineer',b'IEMS Solution',b'Canada',b'https://ca.linkedin.com/jobs/view/cloud-data-analytics-engineer-at-iems-solution-3630360016?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=Gt%2BZ95ncB1B1z5u2lJxMTw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst (Bangkok Based, Relocation Provided)'",b'Agoda',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-bangkok-based-relocation-provided-at-agoda-3644667671?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=yxGK55uOxgf6jn69mPDBdw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'SAS Macro Developer',b'Tata Consultancy Services',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/sas-macro-developer-at-tata-consultancy-services-3641594104?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=kqSbA4hoH312%2BK%2BYrpa8tA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'GSOC Analyst',b'Crisis24',"b'Ottawa, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/gsoc-analyst-at-crisis24-3644961138?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=C1prxOuSovPEvlxVLsaErw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst Junior',b'Energy Jobline',"b'Calgary, Alberta, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-junior-at-energy-jobline-3644658837?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=IY9YpbHZGdoVUNb%2BnOLmvw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
